Predicción de captura_2026-05-21_15-38-55.pcap_Flow.csv
Flujo 52: prob=0.000000000000, clase=0, paquetes=2, payload=196.0, ACK=0, RST=0, SYN=0, duracion=73761
Flujo 53: prob=0.000001808359, clase=0, paquetes=2, payload=94.0, ACK=0, RST=0, SYN=0, duracion=45836
Flujo 54: prob=0.000000000173, clase=0, paquetes=2, payload=170.0, ACK=0, RST=0, SYN=0, duracion=94732
Flujo 55: prob=0.000000023982, clase=0, paquetes=2, payload=129.0, ACK=0, RST=0, SYN=0, duracion=3451
Flujo 56: prob=0.000000014185, clase=0, paquetes=2, payload=125.0, ACK=0, RST=0, SYN=0, duracion=125471
Flujo 57: prob=0.000013499262, clase=0, paquetes=2, payload=80.0, ACK=0, RST=0, SYN=0, duracion=119778
Flujo 58: prob=0.000000014816, clase=0, paquetes=2, payload=120.0, ACK=0, RST=0, SYN=0, duracion=43646
Flujo 59: prob=0.000000000006, clase=0, paquetes=2, payload=171.0, ACK=0, RST=0, SYN=0, duracion=49367
Flujo 60: prob=0.000000008971, clase=0, paquetes=2, payload=125.0, ACK=0, RST=0, SYN=0, duracion=113384
Flujo 61: prob=0.000000000005, clase=0, paquetes=2, payload=180.0, ACK=0, RST=0, SYN=0, duracion=50215
Flujo 62: prob=1.000000000000, clase=1, paquetes=2, payload=0.0, ACK=2, RST=0, SYN=0, duracion=67
Flujo 63: prob=0.000000494276, clase=0, paquetes=2, payload=102.0, ACK=0, RST=0, SYN=0, duracion=116952
Flujo 64: prob=0.000000000315, clase=0, paquetes=2, payload=140.0, ACK=0, RST=0, SYN=0, duracion=34726
Flujo 65: prob=0.000000000000, clase=0, paquetes=2, payload=331.0, ACK=0, RST=0, SYN=0, duracion=29185
Flujo 66: prob=0.000000001216, clase=0, paquetes=2, payload=139.0, ACK=0, RST=0, SYN=0, duracion=48427
Flujo 67: prob=0.000000000005, clase=0, paquetes=2, payload=180.0, ACK=0, RST=0, SYN=0, duracion=50138
Flujo 68: prob=0.000000000000, clase=0, paquetes=150, payload=65215.0, ACK=0, RST=0, SYN=0, duracion=12825015
Flujo 69: prob=0.000000000309, clase=0, paquetes=2, payload=140.0, ACK=0, RST=0, SYN=0, duracion=43902
Flujo 70: prob=0.000000000001, clase=0, paquetes=2, payload=200.0, ACK=0, RST=0, SYN=0, duracion=123545
Flujo 71: prob=0.000000000000, clase=0, paquetes=2, payload=349.0, ACK=0, RST=0, SYN=0, duracion=40762
Flujo 72: prob=0.000000006457, clase=0, paquetes=2, payload=125.0, ACK=0, RST=0, SYN=0, duracion=39801
Flujo 73: prob=0.000000017413, clase=0, paquetes=2, payload=120.0, ACK=0, RST=0, SYN=0, duracion=2721
Flujo 74: prob=0.000000000007, clase=0, paquetes=2, payload=172.0, ACK=0, RST=0, SYN=0, duracion=70479
Flujo 75: prob=0.000000003033, clase=0, paquetes=2, payload=129.0, ACK=0, RST=0, SYN=0, duracion=128027
Flujo 76: prob=0.000000440661, clase=0, paquetes=2, payload=103.0, ACK=0, RST=0, SYN=0, duracion=49079
Flujo 77: prob=0.000000000010, clase=0, paquetes=2, payload=173.0, ACK=0, RST=0, SYN=0, duracion=48550
Flujo 78: prob=0.000000000000, clase=0, paquetes=2, payload=225.0, ACK=0, RST=0, SYN=0, duracion=27536
Flujo 79: prob=0.000000000025, clase=0, paquetes=2, payload=176.0, ACK=0, RST=0, SYN=0, duracion=49263
Flujo 80: prob=0.000000000000, clase=0, paquetes=2, payload=194.0, ACK=0, RST=0, SYN=0, duracion=50816
Flujo 81: prob=0.000000374136, clase=0, paquetes=2, payload=103.0, ACK=0, RST=0, SYN=0, duracion=41993
Flujo 82: prob=0.000000000001, clase=0, paquetes=2, payload=192.0, ACK=0, RST=0, SYN=0, duracion=43736
Flujo 83: prob=0.000000000000, clase=0, paquetes=2, payload=242.0, ACK=0, RST=0, SYN=0, duracion=59060
Flujo 84: prob=0.000000000000, clase=0, paquetes=2, payload=226.0, ACK=0, RST=0, SYN=0, duracion=45341
Flujo 85: prob=0.000000000172, clase=0, paquetes=2, payload=148.0, ACK=0, RST=0, SYN=0, duracion=36781
Flujo 86: prob=0.000000000000, clase=0, paquetes=2, payload=336.0, ACK=0, RST=0, SYN=0, duracion=43467
Flujo 87: prob=0.000015083107, clase=0, paquetes=2, payload=82.0, ACK=0, RST=0, SYN=0, duracion=45617
Flujo 88: prob=0.000000006538, clase=0, paquetes=2, payload=125.0, ACK=0, RST=0, SYN=0, duracion=34920
Flujo 89: prob=0.000000000000, clase=0, paquetes=2, payload=193.0, ACK=0, RST=0, SYN=0, duracion=125991
Flujo 90: prob=0.000000000000, clase=0, paquetes=2, payload=212.0, ACK=0, RST=0, SYN=0, duracion=123724
Flujo 91: prob=0.000000027853, clase=0, paquetes=2, payload=114.0, ACK=0, RST=0, SYN=0, duracion=9525
Flujo 92: prob=0.000003308473, clase=0, paquetes=2, payload=100.0, ACK=0, RST=0, SYN=0, duracion=58300
Flujo 93: prob=0.000000000000, clase=0, paquetes=2, payload=242.0, ACK=0, RST=0, SYN=0, duracion=66710
